locus_tag,organism,gene_symbol,source_annotation,source_category,in_current_refseq,protein_id,refseq_product,refseq_still_hypothetical,best_hit_method,best_hit_database,best_hit_id,best_hit_description,best_hit_evalue,best_hit_query_coverage,best_hit_query_range,n_evidence_rows,confidence_call,evidence_level,reannotated_category
Synpcc7942_0605,synechococcus,,hypothetical protein,,True,WP_011377641.1,bestrophin family protein,False,HMMER hmmscan,Pfam-A,PF25539.2,Bacterial/Fungal Bestrophin protein,2.9e-84,0.8563,10-289,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0602,synechococcus,,hypothetical protein,,True,WP_011243234.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF26500.1,Domain of unknown function (DUF8166),1.8e-77,0.9653,1-195,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0595,synechococcus,,hypothetical protein,,True,WP_011377637.1,DUF2808 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF10989.14,Protein of unknown function (DUF2808),2.8e-41,0.7967,28-172,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0594,synechococcus,,hypothetical protein,,True,WP_011243241.1,CocE/NonD family hydrolase,False,HMMER hmmscan,Pfam-A,PF02129.25,X-Pro dipeptidyl-peptidase (S15 family),2.8e-71,0.4677,28-288,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0593,synechococcus,,hypothetical protein,,True,WP_011377636.1,DUF3887 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13026.13,Protein of unknown function (DUF3887),2.5e-07,0.356,151-239,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0591,synechococcus,,hypothetical protein,,True,WP_011243244.1,TMEM165/GDT1 family protein,False,HMMER hmmscan,Pfam-A,PF01169.26,Divalent cation/proton antiporter GDT1,6.1e-26,0.7963,7-92,7,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0590,synechococcus,,hypothetical protein,,True,WP_011243245.1,TMEM165/GDT1 family protein,False,HMMER hmmscan,Pfam-A,PF01169.26,Divalent cation/proton antiporter GDT1,2.8e-24,0.7478,26-111,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0589,synechococcus,,hypothetical protein,,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0586,synechococcus,,hypothetical protein,,True,WP_049749324.1,metallophosphoesterase,False,HMMER hmmscan,Pfam-A,PF00149.34,Calcineurin-like phosphoesterase,1.4e-16,0.7333,13-199,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0582,synechococcus,,hypothetical protein,,True,WP_011243253.1,YheT family hydrolase,False,HMMER hmmscan,Pfam-A,PF00561.27,alpha/beta hydrolase fold,1.8e-08,0.7216,71-311,6,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0581,synechococcus,,hypothetical protein,,True,WP_011243254.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0577,synechococcus,,hypothetical protein,,True,WP_011243258.1,photosystem II assembly protein Psb34,False,HMMER hmmscan,Pfam-A,PF26394.2,Psb34 family,7.9e-20,0.9821,1-55,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0574,synechococcus,,hypothetical protein,,True,WP_011243261.1,DUF3598 family protein,False,HMMER hmmscan,Pfam-A,PF21053.4,"Biogenesis factor required for ATP synthase 1, C-terminal domain",9.4e-51,0.4819,135-267,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0572,synechococcus,,hypothetical protein,,True,WP_011377628.1,VOC family protein,False,HMMER hmmscan,Pfam-A,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,4.1e-16,0.8836,13-141,8,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0567,synechococcus,,hypothetical protein,,True,WP_011377626.1,FAD-binding oxidoreductase,False,HMMER hmmscan,Pfam-A,PF01565.29,FAD binding domain,6.7e-25,0.2895,47-176,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0566,synechococcus,,hypothetical protein,,True,WP_011243268.1,HAD family hydrolase,False,HMMER hmmscan,Pfam-A,PF05116.20,Sucrose-6F-phosphate phosphohydrolase,2.3e-14,0.8906,19-246,11,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0565,synechococcus,,hypothetical protein,,True,WP_011243269.1,FHA domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00498.32,FHA domain,8.4e-14,0.3409,109-183,7,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0562,synechococcus,,hypothetical protein,,True,WP_011243272.1,DUF3531 family protein,False,HMMER hmmscan,Pfam-A,PF12049.14,Protein of unknown function (DUF3531),3.4e-67,0.9139,1-138,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0561,synechococcus,,hypothetical protein,,True,WP_011377624.1,Sll0314/Alr1548 family TPR repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF14559.13,Tetratricopeptide repeat,0.00025,0.1027,223-256,75,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0558,synechococcus,,hypothetical protein,,True,WP_011243276.1,CPP1-like family protein,False,HMMER hmmscan,Pfam-A,PF11833.14,Protein CHAPERONE-LIKE PROTEIN OF POR1-like,1.7e-61,0.9314,14-203,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0553,synechococcus,,hypothetical protein,,True,WP_011377621.1,efflux RND transporter periplasmic adaptor subunit,False,HMMER hmmscan,Pfam-A,PF25954.1,"CusB-like, beta-barrel domain",2.2e-12,0.1644,300-373,34,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0551,synechococcus,,hypothetical protein,,True,WP_011377620.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0550,synechococcus,,hypothetical protein,,True,WP_011377619.1,DUF6464 family protein,False,HMMER hmmscan,Pfam-A,PF20065.5,Family of unknown function (DUF6464),1.6e-37,0.7559,26-121,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0549,synechococcus,,hypothetical protein,,True,WP_011377618.1,TerC family protein,False,HMMER hmmscan,Pfam-A,PF03741.24,Integral membrane protein TerC family,1.5e-50,0.7984,26-227,9,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0548,synechococcus,,hypothetical protein,,True,WP_011243285.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF27148.1,Slr1353 N-terminal dsRNA-binding domain-like,2.4e-26,0.1632,42-104,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0545,synechococcus,,hypothetical protein,,True,WP_011243288.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF19510.6,Protein of unknown function (DUF6044),0.39,0.313,48-119,4,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0544,synechococcus,,hypothetical protein,,True,WP_011377617.1,YciI family protein,False,HMMER hmmscan,Pfam-A,PF03795.21,YCII-related domain,1.8e-19,0.9326,3-85,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0543,synechococcus,,hypothetical protein,,True,WP_011377616.1,NADPH-dependent FMN reductase,False,HMMER hmmscan,Pfam-A,PF03358.21,NADPH-dependent FMN reductase,9.3e-41,0.8075,2-152,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0541,synechococcus,,hypothetical protein,,True,WP_011243292.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF05534.19,HicB family,0.018,0.3947,4-33,6,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0540,synechococcus,,hypothetical protein,,True,WP_231621346.1,PIN domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13470.13,PIN domain,1.8e-25,0.8014,2-114,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0539,synechococcus,,hypothetical protein,,True,WP_011243294.1,CPBP family glutamic-type intramembrane protease,False,HMMER hmmscan,Pfam-A,PF02517.22,Type II CAAX prenyl endopeptidase Rce1-like,5e-13,0.4498,130-241,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0533,synechococcus,,hypothetical protein,,True,WP_011243300.1,DUF433 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF04255.21,Protein of unknown function (DUF433),1.1e-24,0.7179,9-64,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0532,synechococcus,,hypothetical protein,,True,WP_011243301.1,DUF5615 family PIN-like protein,False,HMMER hmmscan,Pfam-A,PF18480.8,Domain of unknown function (DUF5615),1.5e-22,0.9402,1-110,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0531,synechococcus,,hypothetical protein,,True,WP_011377614.1,tetratricopeptide repeat protein,False,HMMER hmmscan,Pfam-A,PF23914.2,Cytochrome c-type biogenesis protein H TPR domain,1.2e-11,0.4146,55-173,136,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0530,synechococcus,,hypothetical protein,,True,WP_011377613.1,tRNA epoxyqueuosine(34) reductase QueG,False,HMMER hmmscan,Pfam-A,PF08331.16,"Epoxyqueuosine reductase QueG, DUF1730",1.3e-26,0.2366,57-131,32,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0525,synechococcus,,hypothetical protein,,True,WP_011243308.1,3-dehydroquinate synthase,False,HMMER hmmscan,Pfam-A,PF01761.27,3-dehydroquinate synthase N-terminal,2e-49,0.3071,71-183,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0523,synechococcus,,hypothetical protein,,True,WP_011243310.1,MAPEG family protein,False,HMMER hmmscan,Pfam-A,PF01124.24,MAPEG family,7.4e-25,0.9535,6-128,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0521,synechococcus,,hypothetical protein,,True,WP_011243311.1,pentapeptide repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF00805.29,Pentapeptide repeats (8 copies),5.9e-11,0.2,30-68,13,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0520,synechococcus,,hypothetical protein,,True,WP_011243312.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF27545.1,CsoS1D N-terminal domain,1e-40,0.4601,5-102,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0519,synechococcus,,hypothetical protein,,True,WP_011377607.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF27721.1,Uncharacterised conserved protein UCP020893,2.4e-57,0.9012,14-168,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0518,synechococcus,,hypothetical protein,,True,WP_011243314.1,AI-2E family transporter,False,HMMER hmmscan,Pfam-A,PF01594.23,AI-2E family transporter,2.4e-64,0.8708,13-349,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0515,synechococcus,,hypothetical protein,,True,WP_011377606.1,DUF309 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF03745.20,Domain of unknown function (DUF309),6.2e-25,0.4214,10-68,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0514,synechococcus,,hypothetical protein,,True,WP_011377605.1,LptA/OstA family protein,False,HMMER hmmscan,Pfam-A,PF03968.20,LptA/(LptD N-terminal domain) LPS transport protein,1.1e-06,0.3357,70-116,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0512,synechococcus,ycf84,hypothetical protein YCF84,,True,WP_231621348.1,LptF/LptG family permease,False,HMMER hmmscan,Pfam-A,PF03739.20,Lipopolysaccharide export system permease LptF/LptG,6.7e-88,0.9836,3-361,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0509,synechococcus,,hypothetical protein,,True,WP_011377603.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF30570.1,Domain of unknown function (DUF8637),0.00013,0.4586,83-154,5,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0508,synechococcus,,hypothetical protein,,True,WP_011243324.1,geranylgeranyl reductase family protein,False,HMMER hmmscan,Pfam-A,PF01494.26,FAD binding domain,5.8e-10,0.4255,3-162,23,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0506,synechococcus,pyrH,hypothetical protein,,True,WP_039755415.1,UMP kinase,False,HMMER hmmscan,Pfam-A,PF00696.34,Amino acid kinase family,9.7e-36,0.875,4-213,7,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0503,synechococcus,,hypothetical protein,,True,WP_011243329.1,TIGR03792 family protein,False,HMMER hmmscan,Pfam-A,PF03992.23,Antibiotic biosynthesis monooxygenase,2.6e-08,0.6275,1-64,1,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0502,synechococcus,,hypothetical protein,,True,WP_011243330.1,GNAT family N-acetyltransferase,False,HMMER hmmscan,Pfam-A,PF13302.14,Acetyltransferase (GNAT) domain,1.3e-33,0.7553,12-153,9,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0501,synechococcus,,hypothetical protein,,True,WP_011243331.1,SDR family oxidoreductase,False,HMMER hmmscan,Pfam-A,PF13460.13,NAD(P)H-binding,2.3e-46,0.8519,7-190,11,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0499,synechococcus,,hypothetical protein,,True,WP_011377602.1,methyltransferase,False,HMMER hmmscan,Pfam-A,PF00891.25,O-methyltransferase domain,1.7e-51,0.6254,106-312,11,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0497,synechococcus,,hypothetical protein,,True,WP_011243335.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF05545.17,Cbb3-type cytochrome oxidase component FixQ,0.51,0.3276,3-21,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0496,synechococcus,,hypothetical protein,,True,WP_011243336.1,class I SAM-dependent methyltransferase,False,HMMER hmmscan,Pfam-A,PF08241.19,Methyltransferase domain,3.8e-11,0.4367,68-167,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0494,synechococcus,,hypothetical protein,,True,WP_011243338.1,RES family NAD+ phosphorylase,False,HMMER hmmscan,Pfam-A,PF08808.18,RES domain,8.4e-20,0.906,10-115,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0493,synechococcus,,hypothetical protein,,True,WP_011377600.1,polyphosphate:AMP phosphotransferase,False,HMMER hmmscan,Pfam-A,PF03976.21,Polyphosphate kinase 2 (PPK2),1.6e-92,0.4494,271-492,14,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0492,synechococcus,,hypothetical protein,,True,WP_011243340.1,bifunctional riboflavin kinase/FAD synthetase,False,HMMER hmmscan,Pfam-A,PF06574.19,FAD synthetase,4.8e-44,0.4794,13-163,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0490,synechococcus,,hypothetical protein,,True,WP_231621349.1,diguanylate cyclase,False,HMMER hmmscan,Pfam-A,PF00990.27,"Diguanylate cyclase, GGDEF domain",4.9e-40,0.2329,513-669,23,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0488,synechococcus,,hypothetical protein,,True,WP_011243343.1,dihydroorotase,False,HMMER hmmscan,Pfam-A,PF01979.27,Amidohydrolase family,2.8e-22,0.8303,54-420,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0484,synechococcus,,hypothetical protein,,True,WP_231621350.1,CPBP family intramembrane glutamic endopeptidase,False,HMMER hmmscan,Pfam-A,PF02517.22,Type II CAAX prenyl endopeptidase Rce1-like,2e-22,0.1857,375-462,6,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0477,synechococcus,ycf19,hypothetical protein YCF19,,True,WP_011243354.1,YggT family protein,False,HMMER hmmscan,Pfam-A,PF02325.24,CCB3/YggT,9.9e-26,0.8081,8-87,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0476,synechococcus,,hypothetical protein,,True,WP_321167215.1,ATP-dependent Clp protease adapter ClpS,False,HMMER hmmscan,Pfam-A,PF02617.23,ATP-dependent Clp protease adaptor protein ClpS,4.1e-16,0.7188,19-87,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0472,synechococcus,,hypothetical protein,,True,WP_011243358.1,exodeoxyribonuclease VII small subunit,False,HMMER hmmscan,Pfam-A,PF02609.22,Exonuclease VII small subunit,8.9e-15,0.6757,10-59,15,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0467,synechococcus,,hypothetical protein,,True,WP_011243363.1,matrixin family metalloprotease,False,HMMER hmmscan,Pfam-A,PF00413.31,Matrixin,2.9e-07,0.4801,126-258,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0465,synechococcus,,hypothetical protein,,True,WP_011243365.1,DUF4079 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13301.12,Protein of unknown function (DUF4079),8e-37,0.8672,8-216,18,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0464,synechococcus,,hypothetical protein,,True,WP_011243366.1,YbaB/EbfC family nucleoid-associated protein,False,HMMER hmmscan,Pfam-A,PF02575.23,YbaB/EbfC DNA-binding family,1.5e-27,0.8496,13-108,9,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0462,synechococcus,,hypothetical protein,,True,WP_011243368.1,DUF924 family protein,False,HMMER hmmscan,Pfam-A,PF06041.18,Bacterial protein of unknown function (DUF924),8.6e-65,0.9333,11-192,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0452,synechococcus,,conserved hypothetical protein,,True,WP_049749342.1,DUF3155 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF11352.14,Protein of unknown function (DUF3155),6e-50,0.7073,3-89,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0448,synechococcus,,hypothetical protein,,True,WP_011243381.1,RIP metalloprotease RseP,False,HMMER hmmscan,Pfam-A,PF02163.29,Peptidase family M50,2.3e-60,0.9258,6-342,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0443,synechococcus,,hypothetical protein,,True,WP_011243386.1,S-layer homology domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00395.26,S-layer homology domain,3.5e-17,0.1065,36-79,10,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0436,synechococcus,,hypothetical protein,,True,WP_011243392.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF01844.30,HNH endonuclease,0.0061,0.4158,11-52,4,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0435,synechococcus,,hypothetical protein,,True,WP_011243393.1,TIGR03943 family putative permease subunit,False,HMMER hmmscan,Pfam-A,PF21537.3,DUF1980 C-terminal domain,5.8e-18,0.4064,148-249,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0434,synechococcus,,hypothetical protein,,True,WP_011243394.1,permease,False,HMMER hmmscan,Pfam-A,PF03773.20,Predicted permease,1.4e-77,0.9791,5-332,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0432,synechococcus,,hypothetical protein,,True,WP_011243396.1,M15 family metallopeptidase,False,HMMER hmmscan,Pfam-A,PF01427.23,D-ala-D-ala dipeptidase,8.7e-42,0.7931,30-213,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0431,synechococcus,,hypothetical protein,,True,WP_011243397.1,NAD(P)/FAD-dependent oxidoreductase,False,HMMER hmmscan,Pfam-A,PF12831.14,FAD dependent oxidoreductase,7.2e-08,0.3621,9-159,23,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0426,synechococcus,,hypothetical protein,,True,WP_011243402.1,SMC-Scp complex subunit ScpB,False,HMMER hmmscan,Pfam-A,PF04079.23,Segregation and condensation complex subunit ScpB,1.3e-39,0.8033,7-153,12,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0425,synechococcus,,hypothetical protein,,True,WP_011243403.1,DUF760 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF05542.17,Protein of unknown function (DUF760),9.4e-32,0.656,20-101,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0423,synechococcus,,hypothetical protein,,True,WP_011243405.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0420,synechococcus,,hypothetical protein,,True,WP_011377573.1,peptide ligase PGM1-related protein,False,HMMER hmmscan,Pfam-A,PF24923.2,"IQCH-like, ATP-grasp",1.2e-17,0.4549,173-409,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0418,synechococcus,,hypothetical protein,,True,WP_011243410.1,DUF1257 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF06868.18,Protein of unknown function (DUF1257),2.5e-23,0.75,20-106,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0417,synechococcus,,hypothetical protein,,True,WP_011243411.1,stress-responsive protein Ycf46,False,HMMER hmmscan,Pfam-A,PF30482.1,"SpoVK-like AAA ATPase, N-terminal domain",2.5e-41,0.2749,1-138,19,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0416,synechococcus,,hypothetical protein,,True,WP_039755442.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF25164.2,"Competence protein CoiA, N-terminal domain",0.00072,0.1504,61-77,11,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0415,synechococcus,,hypothetical protein,,True,WP_011243413.1,pentapeptide repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF00805.29,Pentapeptide repeats (8 copies),8.2e-11,0.12,263-301,10,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0414,synechococcus,,hypothetical protein,,True,WP_011377571.1,homocysteine biosynthesis protein,False,HMMER hmmscan,Pfam-A,PF01837.23,"Homocysteine biosynthesis enzyme, sulfur-incorporation",3.6e-142,0.8923,16-363,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0412,synechococcus,,hypothetical protein,,True,WP_011243416.1,DUF3007 family protein,False,HMMER hmmscan,Pfam-A,PF11460.14,Protein of unknown function (DUF3007),1.5e-38,0.8807,1-96,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0410,synechococcus,,hypothetical protein,,True,WP_011243418.1,BrnT family toxin,False,HMMER hmmscan,Pfam-A,PF04365.20,"Ribonuclease toxin, BrnT, of type II toxin-antitoxin system",1e-07,0.9,6-86,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0406,synechococcus,,hypothetical protein,,True,WP_011243421.1,DUF4168 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13767.12,Domain of unknown function (DUF4168),7.6e-25,0.7143,30-124,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0402,synechococcus,,hypothetical protein,,True,WP_011243425.1,rRNA maturation RNase YbeY,False,HMMER hmmscan,Pfam-A,PF02130.25,Endoribonuclease YbeY,1.3e-33,0.7586,21-152,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0399,synechococcus,,hypothetical protein,,True,WP_011243428.1,MBL fold metallo-hydrolase,False,HMMER hmmscan,Pfam-A,PF13483.13,Beta-lactamase superfamily domain,3.5e-49,0.66,34-198,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0398,synechococcus,,hypothetical protein,,True,WP_011243429.1,DUF4079 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13301.12,Protein of unknown function (DUF4079),8.1e-54,0.9211,9-148,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0395,synechococcus,,hypothetical protein,,True,WP_011377563.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF30517.1,"Cyanobacterial transposase-derived protein, C-terminal domain",2.6e-36,0.2594,276-372,25,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0393,synechococcus,,hypothetical protein,,True,WP_011377562.1,LmeA family phospholipid-binding protein,False,HMMER hmmscan,Pfam-A,PF11209.14,LmeA-like phospholipid-binding,1.3e-19,0.9425,6-218,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0391,synechococcus,,hypothetical protein,,True,WP_011243436.1,alpha/beta hydrolase,False,HMMER hmmscan,Pfam-A,PF07176.18,Alpha/beta hydrolase of unknown function (DUF1400),8.6e-25,0.2452,30-158,28,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0387,synechococcus,,hypothetical protein,,True,WP_407830097.1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,False,HMMER hmmscan,Pfam-A,PF02367.24,Threonylcarbamoyl adenosine biosynthesis protein TsaE,4.2e-31,0.6763,11-127,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0386,synechococcus,,hypothetical protein,,True,WP_011243440.1,gluconeogenesis factor YvcK family protein,False,HMMER hmmscan,Pfam-A,PF01933.24,2-phospho-L-lactate transferase CofD,3.2e-118,0.6141,153-440,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0383,synechococcus,,hypothetical protein,,True,WP_011377557.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF06790.18,Uncharacterised protein family (UPF0259),1.8e-07,0.4605,79-183,9,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0382,synechococcus,,hypothetical protein,,True,WP_011243444.1,TM2 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF05154.22,TM2 domain,1.3e-12,0.5682,11-60,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
Synpcc7942_0381,synechococcus,,hypothetical protein,,True,WP_231621355.1,DUF2752 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF10825.14,Protein of unknown function (DUF2752),4.8e-16,0.2994,52-98,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
